epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,8719.93,1.10657,0.45579,0.00924,0.90921,0.89535,0.94744,0.68782,1.0658,0.41601,0.01411,0.0022285,0.0022285,0.0022285
159,8775.18,1.08806,0.43226,0.0089,0.94069,0.91473,0.9557,0.69608,1.03182,0.38317,0.01353,0.002179,0.002179,0.002179
160,8830.29,1.09987,0.47372,0.00904,0.91157,0.919,0.95125,0.67236,1.10541,0.41368,0.01393,0.0021295,0.0021295,0.0021295
161,8886.22,1.06903,0.46646,0.00924,0.95104,0.90347,0.95235,0.69269,1.05505,0.40709,0.01377,0.00208,0.00208,0.00208
162,8941.28,1.07699,0.45217,0.00861,0.93406,0.91473,0.95029,0.6837,1.08492,0.41316,0.01444,0.0020305,0.0020305,0.0020305
163,8996.46,1.08443,0.43579,0.00913,0.94272,0.8931,0.95022,0.69042,1.06834,0.41936,0.01387,0.001981,0.001981,0.001981
164,9051.59,1.08889,0.45187,0.00908,0.93561,0.90698,0.95357,0.6911,1.0637,0.38874,0.01371,0.0019315,0.0019315,0.0019315
165,9107.13,1.09545,0.43914,0.00919,0.91936,0.92248,0.95137,0.68011,1.09555,0.4145,0.01362,0.001882,0.001882,0.001882
166,9162.28,1.09764,0.45889,0.00908,0.93224,0.89922,0.9513,0.69058,1.06121,0.3968,0.01391,0.0018325,0.0018325,0.0018325
167,9217.43,1.08789,0.44127,0.00921,0.92617,0.92636,0.95632,0.69455,1.07165,0.38219,0.01405,0.001783,0.001783,0.001783
168,9272.49,1.08778,0.44023,0.009,0.91135,0.9031,0.94913,0.67303,1.10726,0.41652,0.01549,0.0017335,0.0017335,0.0017335
169,9328.29,1.06877,0.4425,0.00901,0.9523,0.9031,0.95387,0.68107,1.10087,0.39212,0.01548,0.001684,0.001684,0.001684
170,9383.75,1.07508,0.44539,0.00893,0.91501,0.91805,0.95024,0.68549,1.0867,0.39353,0.01537,0.0016345,0.0016345,0.0016345
171,9438.98,1.04227,0.41475,0.00872,0.94452,0.92386,0.95703,0.68975,1.09,0.38072,0.01482,0.001585,0.001585,0.001585
172,9494.92,1.09676,0.45788,0.0089,0.95878,0.90147,0.95527,0.67082,1.12885,0.39686,0.01494,0.0015355,0.0015355,0.0015355
173,9550.05,1.0866,0.44477,0.00892,0.93981,0.9186,0.95488,0.69354,1.05458,0.3883,0.01446,0.001486,0.001486,0.001486
174,9605.35,1.05376,0.41659,0.00849,0.94375,0.89147,0.95364,0.68549,1.08816,0.39749,0.01468,0.0014365,0.0014365,0.0014365
175,9660.8,1.05754,0.41429,0.00887,0.95538,0.89147,0.95512,0.68946,1.07554,0.40524,0.01484,0.001387,0.001387,0.001387
176,9716.31,1.06849,0.4411,0.00876,0.92244,0.91473,0.94922,0.69557,1.03844,0.4081,0.01409,0.0013375,0.0013375,0.0013375
177,9771.46,1.07084,0.43387,0.0089,0.92672,0.86822,0.94365,0.68687,1.04656,0.42922,0.01352,0.001288,0.001288,0.001288
178,9826.51,1.08777,0.44212,0.00888,0.92289,0.92774,0.94986,0.67982,1.08395,0.41771,0.01389,0.0012385,0.0012385,0.0012385
179,9882.03,1.05828,0.43597,0.00876,0.93587,0.90502,0.94942,0.69353,1.05156,0.41213,0.01383,0.001189,0.001189,0.001189
180,9937.6,1.04956,0.42996,0.00868,0.92016,0.92248,0.95298,0.70236,1.04293,0.40383,0.01367,0.0011395,0.0011395,0.0011395
181,9993.05,1.06024,0.42577,0.00864,0.9445,0.92351,0.95715,0.70858,1.02566,0.36939,0.01336,0.00109,0.00109,0.00109
182,10048.1,1.08556,0.43894,0.00875,0.91212,0.91085,0.94505,0.68305,1.05641,0.43733,0.014,0.0010405,0.0010405,0.0010405
